INFO 2024-06-27 10:54:20,047 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-27 10:54:20,048 autoreload Waiting for apps ready_event.
DEBUG 2024-06-27 10:54:20,060 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-27 10:54:20,072 autoreload Watching dir C:\Users\Pavan.Pawar\Documents\NotifyNow\core\templates with glob **/*.
DEBUG 2024-06-27 10:54:20,072 autoreload Watching dir C:\Users\Pavan.Pawar\Documents\NotifyNow\core\accounts\templates with glob **/*.
DEBUG 2024-06-27 10:54:20,072 autoreload Watching dir C:\Users\Pavan.Pawar\Documents\NotifyNow\core\locale with glob **/*.mo.
DEBUG 2024-06-27 10:54:20,073 autoreload Watching dir C:\Users\Pavan.Pawar\Documents\NotifyNow\core\accounts\locale with glob **/*.mo.
DEBUG 2024-06-27 10:54:20,132 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-27 10:54:20,138 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-27 10:54:20,378 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1718974250.3119118
DEBUG 2024-06-27 10:54:20,379 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\db\models\fields\json.py first seen with mtime 1718974250.9704013
DEBUG 2024-06-27 10:54:20,379 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\ctypes\__init__.py first seen with mtime 1717742898.4239902
DEBUG 2024-06-27 10:54:20,379 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\db\migrations\operations\base.py first seen with mtime 1718974250.9064982
DEBUG 2024-06-27 10:54:20,380 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\subprocess.py first seen with mtime 1715853202.2494922
DEBUG 2024-06-27 10:54:20,380 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\warnings.py first seen with mtime 1717742898.5848505
DEBUG 2024-06-27 10:54:20,380 autoreload File C:\Users\Pavan.Pawar\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.12_qbz5n2kfra8p0\LocalCache\local-packages\Python312\site-packages\django\core\checks\messages.py first seen with mtime 1718974250.4265032
